// These colors brought to you by: thedarkcolour
// This list is only for Vanilla items and cannot be changed. If you want to change modded colors, those can be found
// in the Ex Deorum config folder under "modded.colors.txt" (you can use '//' to write comments)
acacia_boat, #794325
sea_lantern, #adc8be
sea_pickle, #e4e7dd
seagrass, #538636
sentry_armor_trim_smithing_template, #505b5a
shaper_armor_trim_smithing_template, #55493f
sheaf_pottery_sherd, #683a30
shears, #8d716b
sheep_spawn_egg, #9da7a6
shelter_pottery_sherd, #6b3c31
shield, #432b14
shroomlight, #f19347
shulker_box, #8b618b
shulker_shell, #704b76
shulker_spawn_egg, #654b6a
silence_armor_trim_smithing_template, #32484c
silverfish_spawn_egg, #4b504f
skeleton_horse_spawn_egg, #474b39
skeleton_skull, #513e33
skeleton_spawn_egg, #838c8b
skull_banner_pattern, #c4bcaa
skull_pottery_sherd, #693b30
slime_ball, #649c5c
slime_block, #70c05c
slime_spawn_egg, #37742d
small_amethyst_bud, #8463c0
small_dripleaf, #5f782e
smithing_table, #392527
smoker, #584b3a
smooth_basalt, #49484e
smooth_quartz, #ede6e0
smooth_quartz_slab, #ede6e0
smooth_quartz_stairs, #ede6e0
smooth_red_sandstone, #b5621f
smooth_red_sandstone_slab, #b5621f
smooth_red_sandstone_stairs, #b5621f
smooth_sandstone, #e0d6aa
smooth_sandstone_slab, #e0d6aa
smooth_sandstone_stairs, #e0d6aa
smooth_stone, #9f9f9f
smooth_stone_slab, #a8a8a8
sniffer_egg, #4d4644
sniffer_spawn_egg, #5c1606
snort_pottery_sherd, #683a30
snout_armor_trim_smithing_template, #383d45
snow, #f9fefe
snow_block, #f9fefe
snow_golem_spawn_egg, #94afae
snowball, #c7dede
soul_campfire, #608471
soul_lantern, #517f8d
soul_sand, #513e33
soul_soil, #4c3a2f
soul_torch, #6d735a
spawner, #242e3f
spectral_arrow, #b89132
spider_eye, #621228
spider_spawn_egg, #23211c
spire_armor_trim_smithing_template, #9271a0
splash_potion, #9f009f
sponge, #c4c04b
spore_blossom, #ce609e
spruce_boat, #574026
spruce_button, #735531
spruce_chest_boat, #5b4323
spruce_door, #665135
spruce_fence, #735531
spruce_fence_gate, #735531
spruce_hanging_sign, #5f492e
spruce_leaves, #304c30
spruce_log, #3b2611
spruce_planks, #735531
spruce_pressure_plate, #735531
spruce_sapling, #2d3c25
spruce_sign, #5c4324
spruce_slab, #735531
spruce_stairs, #735531
spruce_trapdoor, #684f30
spruce_wood, #3b2611
spyglass, #906f44
squid_spawn_egg, #172b37
stick, #4d4028
sticky_piston, #6e6961
stone, #7e7e7e
stone_axe, #574e3f
stone_brick_slab, #7a7a7a
stone_brick_stairs, #7a7a7a
stone_brick_wall, #7a7a7a
stone_bricks, #7a7a7a
stone_button, #7e7e7e
stone_hoe, #4e4433
stone_pickaxe, #4e4535
stone_pressure_plate, #7e7e7e
stone_shovel, #59503f
stone_slab, #7e7e7e
stone_stairs, #7e7e7e
stone_sword, #585552
stonecutter, #767676
stray_spawn_egg, #425555
strider_spawn_egg, #6a2627
string, #909a9b
stripped_acacia_log, #af5d3c
stripped_acacia_wood, #af5d3c
stripped_bamboo_block, #c1ad50
stripped_birch_log, #c5b076
stripped_birch_wood, #c5b076
stripped_cherry_log, #d79195
stripped_cherry_wood, #d79195
stripped_crimson_hyphae, #89395a
stripped_crimson_stem, #89395a
stripped_dark_oak_log, #493924
stripped_dark_oak_wood, #493924
stripped_jungle_log, #ab8555
stripped_jungle_wood, #ab8555
stripped_mangrove_log, #783630
stripped_mangrove_wood, #783630
stripped_oak_log, #b19056
stripped_oak_wood, #b19056
stripped_spruce_log, #745a34
stripped_spruce_wood, #745a34
stripped_warped_hyphae, #3a9794
stripped_warped_stem, #3a9794
structure_block, #594a5a
structure_void, #19575d
sugar, #c5c5cf
sugar_cane, #569223
sunflower, #f6c536
suspicious_gravel, #827d7c
suspicious_sand, #dacc9f
suspicious_stew, #69562f
sweet_berries, #57231d
tadpole_bucket, #717775
tadpole_spawn_egg, #4a3c2c
tall_grass, #4a6f3f
target, #e5b0a8
terracotta, #985e44
tide_armor_trim_smithing_template, #5aa89c
tinted_glass, #2c272e
tipped_arrow, #a700a7
tnt, #b65854
tnt_minecart, #6c4d45
torch, #8b7140
torchflower, #65654d
torchflower_seeds, #567546
totem_of_undying, #b38d4c
trader_llama_spawn_egg, #9f7722
trapped_chest, #a2834f
trident, #7a948d
tripwire_hook, #8f8576
tropical_fish, #bf6235
tropical_fish_bucket, #8b7674
tropical_fish_spawn_egg, #a34c0f
tube_coral, #3053c5
tube_coral_block, #3157cf
tube_coral_fan, #335cd1
tuff, #6c6d67
turtle_egg, #a4aa88
turtle_helmet, #266f32
turtle_spawn_egg, #9da7a6
twisting_vines, #14887a
verdant_froglight, #d3ebd0
vex_armor_trim_smithing_template, #4f6161
vex_spawn_egg, #536876
villager_spawn_egg, #3a2b25
vindicator_spawn_egg, #65706f
vine, #21520b
wandering_trader_spawn_egg, #2f476c
ward_armor_trim_smithing_template, #41575b
warden_spawn_egg, #a3334
warped_button, #2b6963
warped_door, #2f8883
warped_fence, #2b6963
warped_fence_gate, #2b6963
warped_fungus, #4a6d58
warped_fungus_on_a_stick, #52523b
warped_hanging_sign, #2e6763
warped_hyphae, #3a3a4d
warped_nylium, #493e3c
warped_planks, #2b6963
warped_pressure_plate, #2b6963
warped_roots, #148a7c
warped_sign, #2a6766
warped_slab, #2b6963
warped_stairs, #2b6963
warped_stem, #3a3a4d
warped_trapdoor, #2f7870
warped_wart_block, #177879
water_bucket, #6f768a
waxed_copper_block, #c06c50
waxed_cut_copper, #bf6b51
waxed_cut_copper_slab, #bf6b51
waxed_cut_copper_stairs, #bf6b51
waxed_exposed_copper, #a17e68
waxed_exposed_cut_copper, #9b7a65
waxed_exposed_cut_copper_slab, #9b7a65
waxed_exposed_cut_copper_stairs, #9b7a65
waxed_oxidized_copper, #52a385
waxed_oxidized_cut_copper, #509a7e
waxed_oxidized_cut_copper_slab, #509a7e
waxed_oxidized_cut_copper_stairs, #509a7e
waxed_weathered_copper, #6c996e
waxed_weathered_cut_copper, #6d916c
waxed_weathered_cut_copper_slab, #6d916c
waxed_weathered_cut_copper_stairs, #6d916c
wayfinder_armor_trim_smithing_template, #564e46
weathered_copper, #6c996e
weathered_cut_copper, #6d916c
weathered_cut_copper_slab, #6d916c
weathered_cut_copper_stairs, #6d916c
weeping_vines, #85100c
wet_sponge, #abb546
wheat, #8c7a43
wheat_seeds, #3d861c
white_banner, #a2834f
white_bed, #eaeced
white_candle, #d2dadb
white_carpet, #eaeced
white_concrete, #cfd5d6
white_concrete_powder, #e2e3e4
white_dye, #9998af
white_glazed_terracotta, #bdd4cb
white_shulker_box, #d8dddd
white_stained_glass, #ffffff
white_stained_glass_pane, #ffffff
white_terracotta, #d2b2a1
white_tulip, #67a451
white_wool, #eaeced
wild_armor_trim_smithing_template, #63766a
witch_spawn_egg, #230000
wither_rose, #293216
wither_skeleton_skull, #513e33
wither_skeleton_spawn_egg, #e0e0e
wither_spawn_egg, #e0e0e
wolf_spawn_egg, #929997
wooden_axe, #4f3b17
wooden_hoe, #4b3816
wooden_pickaxe, #493715
wooden_shovel, #533e18
wooden_sword, #463514
writable_book, #785d54
written_book, #60372a
yellow_banner, #a2834f
yellow_bed, #f9c628
yellow_candle, #d2a938
yellow_carpet, #f9c628
yellow_concrete, #f1af15
yellow_concrete_powder, #e9c737
yellow_dye, #b89e24
yellow_glazed_terracotta, #eac059
yellow_shulker_box, #f8bd1d
yellow_stained_glass, #e5e533
yellow_stained_glass_pane, #e5e533
yellow_terracotta, #ba8523
yellow_wool, #f9c628
zoglin_spawn_egg, #87503d
zombie_head, #513e33
zombie_horse_spawn_egg, #213b25
zombie_spawn_egg, #7f7e
zombie_villager_spawn_egg, #3a2b25
zombified_piglin_spawn_egg, #9f6a6a
